id,companyName,ecosystemName,dateFounded,primaryTag,secondaryTag,latestRoundType,latestRoundDate,deadFlag
1,3e nano,toronto,2015-01-01,cleantech,greentech,seed,2023-03-30,0
2,abcellera,british columbia,2012-01-01,biotech,unknown,unknown,2023-05-24,0
3,abdera therapeutics,british columbia,2021-01-01,healthtech,biotech,series b,2023-04-24,0
4,able innovations,toronto,2018-02-26,healthtech,computer vision,seed,2022-05-30,0
5,aboard,toronto,2020-04-01,saas,hrtech,pre-seed,2021-05-21,0
6,aceage,toronto,2015-02-18,healthtech,hardware,series a,2020-12-03,0
7,acerta analytics,waterloo region,2017-02-01,ai,automotive,series b,2022-11-22,0
8,acorn,toronto,2017-01-01,biotech,unknown,unknown,2021-04-15,0
9,acto,toronto,2014-07-20,healthtech,business intelligence,series b,2022-07-07,0
10,acuva,british columbia,2014-01-01,cleantech,unknown,series b,2020-02-06,0
11,ada,toronto,2016-01-01,ai,intelligent systems,series c,2021-05-07,0
12,adaptive pulse,waterloo region,2020-01-01,ai,crm,pre-seed,2021-09-27,0
13,adela,toronto,2020-01-01,biotech,healthtech,series a,2021-06-23,0
14,adeptmind,toronto,2016-09-01,ai,ecommerce,series a,2021-06-03,0
15,adhawk microsystems,waterloo region,2015-01-01,hardware,unknown,unknown,2019-03-28,0
16,adskate,toronto,2019-04-01,adtech,advertising,seed,2021-06-21,0
17,aecopaq,quebec,2013-01-01,greentech,unknown,seed,2020-02-19,0
18,aerial technologies,quebec,2015-06-01,analytics,unknown,series a,2020-10-26,0
19,agnostiq,toronto,2018-08-01,quantum,cybersecurity,unknown,2023-04-06,0
20,aifred health,quebec,2017-01-01,healthtech,healthtech,seed,2020-12-08,0
21,airex energy,quebec,2008-01-01,cleantech,unknown,series d,2024-06-18,0
23,alayacare,quebec,2014-08-01,healthtech,hospital,unknown,2024-02-29,0
24,alida,toronto,2000-01-01,saas,unknown,unknown,2022-11-09,0
25,alkemi,toronto,2018-02-20,cryptocurrency,bitcoin,seed,2021-05-01,0
26,allegory insurance,toronto,2019-01-01,fintech,ai,pre-seed,2021-04-01,0
27,alpha9 theranostics,british columbia,2019-01-01,biotech,medical,series a,2021-04-28,0
28,amacathera,toronto,2015-01-01,biotech,biopharma,series a,2021-02-22,0
29,amber molecular,toronto,2017-01-01,cleantech,oled,series a,2020-06-24,0
30,ambyint,alberta,2015-01-01,cleantech,ai,unknown,2023-11-17,0
31,ananda devices,quebec,2015-11-06,biotech,unknown,unknown,2020-04-09,0
34,aon3d,quebec,2015-01-01,3dtech,3d printing,series a,2021-09-08,0
35,aplic.io,british columbia,2018-05-08,edtech,college recruiting,pre-seed,2021-01-25,0
36,apollo,british columbia,2018-01-01,insurtech,fintech,series b,2022-03-11,0
37,appdirect,quebec,2009-01-01,ecommerce,unknown,unknown,2020-09-16,0
38,applyboard,waterloo region,2015-05-01,saas,edtech,unknown,2024-09-17,0
39,appmed,quebec,,healthtech,saas,unknown,2020-04-30,0
40,appnovation,british columbia,2007-01-01,analytics,unknown,unknown,2020-09-28,0
41,arbor,alberta,2020-09-29,marketplace,analytics,seed,2020-12-15,0
43,armilla ai,toronto,2019-01-01,platform,qa,seed,2024-02-15,0
44,arolytics,alberta,2018-01-01,analytics,enterprise software,seed,2021-02-10,0
45,artboard studio,toronto,2018-11-11,saas,brand marketing,seed,2021-06-08,0
46,arteria ai,toronto,2020-01-01,ai,contact management,series b,2023-10-26,0
48,artms,british columbia,2013-01-01,healthtech,unknown,grant,2021-03-02,1
49,aspect biosystems,british columbia,2013-11-19,biotech,unknown,series b,2025-01-08,0
50,athennian,alberta,2016-07-16,legaltech,saas,series b,2022-01-30,0
51,atomic finance,toronto,2019-01-01,blockchain,cryptocurrency,seed,2020-12-27,0
52,attabotics,alberta,2015-01-01,robotics,unknown,series c,2022-11-18,0
53,autoleap,toronto,2019-01-01,saas,automotive,series b,2023-04-11,0
54,autozen,british columbia,2020-01-01,saas,marketplace,seed,2022-06-21,0
55,avidbots,waterloo region,2014-01-01,robotics,ai,series c,2022-09-27,0
56,aviron interactive,toronto,2019-01-01,healthtech,healthtech,series a,2022-02-23,0
57,award pool,toronto,2020-06-01,platform,cryptocurrency,seed,2021-06-29,0
59,axya,quebec,2019-02-28,marketplace,industrial automation,seed,2022-02-09,0
60,aya payments,toronto,2018-01-01,healthtech,unknown,seed,2020-11-21,0
61,ayogo health,british columbia,2011-01-01,healthtech,pharmaceuticals,series b,2020-05-01,0
