id,dealId,companyId,companyName,headquarters,investorId,investorName,leadInvestorFlag,ecosystemName,date,year,yearQuarter,roundType,investorCountry
1,1,677,verda,waterloo,173,chicago archangels,1,waterloo region,1/1/2019,2019,2019 Q1,pre-seed,usa
2,1,677,verda,waterloo,203,corbin kempenaar,0,waterloo region,1/1/2019,2019,2019 Q1,pre-seed,canada
3,7,532,roomvu,vancouver,8,7 gate ventures,1,british columbia,1/29/2019,2019,2019 Q1,pre-seed,canada
4,8,633,thoughtexchange,rossland,873,yaletown partners,1,british columbia,1/30/2019,2019,2019 Q1,series b,canada
5,14,566,sitka biopharma,british columbia,166,centre for drug research and development,1,british columbia,2/11/2019,2019,2019 Q1,unknown,canada
6,19,623,terramera,british columbia,104,bdc capital,1,british columbia,2/21/2019,2019,2019 Q1,unknown,canada
7,20,139,cmd,vancouver,63,amplify partners,0,british columbia,2/26/2019,2019,2019 Q1,series b,usa
8,20,139,cmd,vancouver,228,decibel partners,0,british columbia,2/26/2019,2019,2019 Q1,series b,usa
9,20,139,cmd,vancouver,289,expa,0,british columbia,2/26/2019,2019,2019 Q1,series b,usa
10,20,139,cmd,vancouver,381,gv,1,british columbia,2/26/2019,2019,2019 Q1,series b,usa
11,21,186,dozr,waterloo,100,basecamp equity partners,1,waterloo region,2/27/2019,2019,2019 Q1,series a,usa
12,21,186,dozr,waterloo,297,fair ventures,0,waterloo region,2/27/2019,2019,2019 Q1,series a,canada
13,21,186,dozr,waterloo,469,juan carlos mas,1,waterloo region,2/27/2019,2019,2019 Q1,series a,usa
14,22,215,esentire,waterloo region,264,edison partners,0,waterloo region,3/4/2019,2019,2019 Q1,unknown,usa
15,22,215,esentire,waterloo region,346,georgian,0,waterloo region,3/4/2019,2019,2019 Q1,unknown,canada
16,22,215,esentire,waterloo region,855,warburg pincus,1,waterloo region,3/4/2019,2019,2019 Q1,unknown,usa
17,26,717,zayzoon,calgary,235,derrick hunter,1,alberta,3/12/2019,2019,2019 Q1,unknown,canada
18,26,717,zayzoon,calgary,696,russell wilson,1,alberta,3/12/2019,2019,2019 Q1,unknown,australia
19,29,93,bridgit,waterloo,104,bdc capital,1,waterloo region,3/18/2019,2019,2019 Q1,series a,canada
21,29,93,bridgit,waterloo,429,innovation grade capital,0,waterloo region,3/18/2019,2019,2019 Q1,series a,canada
