id,companyId,companyName,headquarters,ecosystemName,primaryTag,leadInvestors,investors,roundType,date,amount,year,yearQuarter
1,677,verda,waterloo,waterloo region,ecommerce,chicago archangels,"chicago archangels, corbin kempenaar",pre-seed,2019-01-01,420000,2019,2019 Q1
2,134,clearvoxel,waterloo,waterloo region,ai,unknown,unknown,seed,2019-01-01,50000,2019,2019 Q1
3,459,ostara,british columbia,british columbia,cleantech,unknown,unknown,unknown,2019-01-03,14595900,2019,2019 Q1
4,218,evercloak,waterloo,waterloo region,nanotech,unknown,unknown,seed,2019-01-07,125000,2019,2019 Q1
5,654,trufan,toronto,toronto,martech,unknown,unknown,pre-seed,2019-01-09,199035,2019,2019 Q1
6,114,carbon engineering,british columbia,british columbia,cleantech,unknown,unknown,unknown,2019-01-09,90229200,2019,2019 Q1
7,532,roomvu,vancouver,british columbia,adtech,7 gate ventures,7 gate ventures,pre-seed,2019-01-29,70000,2019,2019 Q1
8,633,thoughtexchange,rossland,british columbia,saas,yaletown partners,yaletown partners,series b,2019-01-30,4000000,2019,2019 Q1
9,609,svante,british columbia,british columbia,cleantech,unknown,unknown,unknown,2019-02-06,6634500,2019,2019 Q1
10,218,evercloak,waterloo,waterloo region,nanotech,unknown,unknown,seed,2019-02-11,30000,2019,2019 Q1
11,283,hitch tech inc,waterloo,waterloo region,edtech,unknown,unknown,seed,2019-02-11,30000,2019,2019 Q1
12,284,hodlbot,waterloo,waterloo region,fintech,unknown,unknown,seed,2019-02-11,30000,2019,2019 Q1
13,383,membio,waterloo,waterloo region,biotech,unknown,unknown,seed,2019-02-11,30000,2019,2019 Q1
14,566,sitka biopharma,british columbia,british columbia,biotech,centre for drug research and development,centre for drug research and development,unknown,2019-02-11,1200000,2019,2019 Q1
15,167,d-wave systems,british columbia,british columbia,quantum,unknown,unknown,unknown,2019-02-11,20462000,2019,2019 Q1
16,200,edvisor.io,british columbia,british columbia,saas,unknown,unknown,seed,2019-02-13,3000000,2019,2019 Q1
17,156,copilot,british columbia,british columbia,fintech,unknown,unknown,series a,2019-02-19,3000000,2019,2019 Q1
18,398,mojio,vancouver,british columbia,fintech,unknown,unknown,series b,2019-02-20,53076000,2019,2019 Q1
19,623,terramera,british columbia,british columbia,agrtech,bdc capital,bdc capital,unknown,2019-02-21,13269000,2019,2019 Q1
