id,investorName,investorType,city,country,sectors,stages
1,212,unknown,istanbul,turkey,saas,seed
2,2048 ventures,unknown,new york,usa,"aerospace, biotech, healthtech, propertytech","pre-seed, seed"
3,205 capital,venture capital,menlo park,usa,cybersecurity,series b
4,3gp capital,unknown,unknown,canada,media,seed
5,3l capital,unknown,los angeles,usa,saas,series b
6,468 capital,venture capital,unknown,germany,ai,seed
7,500 startups,"accelerator, venture capital",san francisco,usa,"edtech, fintech, insurtech, logisticstech, marketplace, propertytech, robotics, saas, ecommerce","pre-seed, seed, series a, series b, series d"
8,7 gate ventures,venture capital,vancouver,canada,adtech,pre-seed
9,7wire ventures,"micro vc, venture capital",chicago,usa,healthtech,series b
10,8vc,venture capital,san francisco,usa,"autotech, biotech","seed, series a"
11,a.capital ventures,venture capital,menlo park,usa,blockchain,series b
12,a/o proptech,venture capital,london,united kingdom,ai,series a
13,a16z crypto,venture capital,menlo park,usa,blockchain,unknown
14,aaron gordon,angel,unknown,usa,blockchain,series b
15,aaron henshaw,unknown,brooklyn,usa,blockchain,seed
16,ac capital,venture capital,unknown,china,fintech,seed
17,accel,venture capital,palo alto,usa,"ai, cybersecurity","series a, series b, series c"
18,accelerate fund,"angel group, micro vc",calgary,canada,"fintech, healthtech, saas, sportstech","pre-seed, series a"
19,accelerator centre,accelerator,waterloo,canada,"agtech, biotech, data, fintech, martech, saas, ecommerce",seed
20,accenture,unknown,dublin,ireland,"fintech, saas","series a, series b"
21,accomplice,venture capital,cambridge,usa,"analytics, fintech, marketplace","seed, series a, series e"
22,ace & company,unknown,geneva,switzerland,analytics,series c
23,acrew capital,venture capital,palo alto,usa,ecommerce,series b
24,active capital,"micro vc, venture capital",san antonio,usa,saas,seed
25,active impact investments,venture capital,north vancouver,canada,"cleantech, saas","seed, series b"
26,adam gross,unknown,san francisco,usa,saas,seed
27,adam morley,angel,unknown,usa,biotech,unknown
28,adams street partners,unknown,chicago,usa,"analytics, biotech","series b, series e"
29,addition,"private equity firm, venture capital",new york,usa,"ai, devtech","series a, series b"
30,advisors.fund,venture capital,san francisco,usa,saas,seed
31,afore capital,"micro vc, venture capital",san francisco,usa,fintech,series a
32,ag ventures,unknown,brooklyn,usa,blockchain,series c
33,agriculture and agri-food canada,unknown,ottawa,canada,agtech,grant
34,ajay shah,angel,unknown,usa,ai,seed
35,alameda research,unknown,central and western,hong kong,blockchain,"seed, series a"
36,alan howard,angel,unknown,unknown,fintech,"series a, series b"
37,alarko ventures,venture capital,istanbul,turkey,healthtech,seed
38,alate partners,venture capital,toronto,canada,"fitnesstech, marketplace, propertytech, saas, transportationtech","seed, series a"
39,alchemist accelerator,accelerator,san francisco,usa,agtech,pre-seed
40,aleph,venture capital,tel aviv,israel,marketplace,series b
41,alex blikstad,angel,unknown,unknown,cryptocurrency,seed
42,alex blum,unknown,new york,usa,saas,seed
43,alex caruso,angel,unknown,unknown,blockchain,series c
44,alexa accelerator,unknown,unknown,usa,edtech,seed
45,alexis ohanian,unknown,san francisco,usa,fintech,"series a, series b"
46,allegiscyber,venture capital,san francisco,usa,saas,series a
47,allen miner,unknown,tokyo,japan,ai,seed
48,allison pickens,unknown,san francisco,usa,ai,series a
49,allogene therapeutics,unknown,unknown,usa,biotech,series a
50,alphalab,accelerator,pittsburgh,usa,adtech,seed
51,altair capital,"micro vc, venture capital",san francisco,usa,"marketplace, saas","pre-seed, seed, series b"
52,alter ego capital,unknown,montreal,canada,agtech,series a
53,alternative capital group,unknown,montreal,canada,platform,series a
54,altonomy,unknown,singapore,singapore,blockchain,seed
55,altos ventures,venture capital,menlo park,usa,fintech,series c
56,alumni ventures group,"angel group, micro vc",manchester,usa,"analytics, fintech","pre-seed, seed"
57,amaranthine,venture capital,san francisco,usa,insurtech,series a
58,amazon alexa fund,"corporate venture capital, venture capital",seattle,usa,"ai, edtech","seed, series a"
59,ambix life science fund i,unknown,unknown,usa,healthtech,series c
60,ambria capital,venture capital,san juan,puerto rico,biotech,seed
61,american express ventures,"corporate venture capital, venture capital",palo alto,usa,"fintech, saas","series c, series d"
62,amorchem,venture capital,montreal,canada,biotech,seed
63,amplify partners,venture capital,menlo park,usa,"cybersecurity, devtech","pre-seed, seed, series b"
64,amplitude venture capital,venture capital,montreal,canada,biotech,"seed, series a, series c"
65,andre drummond,angel,unknown,unknown,blockchain,series c
66,andre iguodala,unknown,san francisco,usa,blockchain,"series b, series c"
67,andreessen horowitz,venture capital,menlo park,usa,"blockchain, hrtech","series a, series b, series c, series d"
70,anges quebec,angel group,quebec,canada,"ai, analytics, biotech, edtech, fintech, healthtech, legaltech, platform, ecommerce","pre-seed, seed, series a"
71,animo ventures,venture capital,unknown,usa,"robotics, saas",seed
72,ankr,unknown,san francisco,usa,cryptocurrency,unknown
73,anthos capital,venture capital,menlo park,usa,saas,"series a, series b, series c"
74,aphelion capital,unknown,mill valley,usa,healthtech,series a
75,aqc capital,unknown,quebec,canada,"ai, analytics, biotech, healthtech, platform","pre-seed, seed"
76,arati sharma,unknown,toronto,canada,edtech,seed
77,arctern ventures,venture capital,toronto,canada,"agtech, greentech, propertytech, saas","series a, series b"
78,arthur ventures,venture capital,minneapolis,usa,legaltech,series a
79,artiman ventures,venture capital,palo alto,usa,saas,"series b, series c"
80,ashton kutcher,unknown,los angeles,usa,blockchain,series c
81,asu scaleu,accelerator,tempe,usa,edtech,seed
82,atb financial,unknown,edmonton,canada,legaltech,series a
